played_on,competition,competition_edition,round_name,team_a,team_b,winner_team,sequence_number,team_name,player_name,goalkeeper_name,outcome,source_provider,source_url,source_row_key,retrieved_at_utc
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,9,Croatia,Ivan Perisic,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807248,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,10,Spain,Aymeric Laporte,,missed,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807249,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,11,Croatia,Bruno Petkovic,,missed,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807251,2026-06-30T12:00:00+00:00
2023-06-18,UEFA Nations League,2022/23,Final,Croatia,Spain,Spain,12,Spain,Dani Carvajal,,scored,espn,https://www.espn.com/soccer/match/_/gameId/654361,espn:654361:40807255,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,1,Morocco,Neil El Aynaoui,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761056,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,2,Nigeria,Paul Onuachu,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761061,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,3,Morocco,Hamza Igmane,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761070,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,4,Nigeria,Samuel Chukwueze,,missed,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761073,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,5,Morocco,Eliesse Ben Seghir,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761083,2026-06-30T12:00:00+00:00
2026-01-14,Africa Cup of Nations,2025,Semi-final,Nigeria,Morocco,Morocco,6,Nigeria,Fisayo Dele-Bashiru,,scored,espn,https://www.espn.com/soccer/match/_/gameId/732182,espn:732182:46761090,2026-06-30T12:00:00+00:00
